list_index,master_text_id,kind,source_japanese,dormant_list2_reference,translation
422,888,card_text,アーマロイド,アーマロイド,Armorloid
423,889,card_text,爆転の化身,Spinning Totem,Spinning Totem
424,890,card_text,"＊このクリーチャーで攻撃するかわりに、タップして次の t 能力を使ってもよい。
 t このターン、バトルゾーンにある自分の自然のクリーチャーが相手を攻撃してブロックされたとき、相手のシールドが1枚でもあれば、そのうちの１枚をブレイクする。（W・ブレイカーまたはＴ・ブレイカー付きクリーチャーであっても、ブロックされた場合は１枚しかブレイクしない）","＊このクリーチャーで攻撃するかわりに、タップして次の t 能力を使ってもよい。
 t このターン、バトルゾーンにある自分の自然のクリーチャーが相手を攻撃してブロックされたとき、相手のシールドが1枚でもあれば、そのうちの１枚をブレイクする。（W・ブレイカーまたはＴ・ブレイカー付きクリーチャーであっても、ブロックされた場合は１枚しかブレイクしない）","■ Instead of having this creature attack, you may tap it to use its tap ability.
 This turn, whenever any of your nature creatures is attacking your opponent and becomes blocked, it breaks one of his shields. (If a creature has ""double breaker"" or ""triple breaker,"" it still breaks only one shield.)"
425,891,card_text,ミステリー・トーテム,ミステリー・トーテム,Mystery Totem
426,892,card_text,聖天使カイザル・バジキューラ,Holy Angel Kaisar Basikula,"Kizar Basiku, the Outrageous"
427,893,card_text,"{B}ブロッカー　
＊進化-自分のイニシエート１体の上に置く。
＊火ステルス（相手のマナゾーンに火のカードが１枚でもあれば、このクリーチャーはブロックされない）
＊W・ブレイカー（シールドを攻撃したとき、このクリーチャーはシールドを2枚ブレイクする）","{B}ブロッカー　
＊進化-自分のイニシエート１体の上に置く。
＊火ステルス（相手のマナゾーンに火のカードが１枚でもあれば、このクリーチャーはブロックされない）
＊W・ブレイカー（シールドを攻撃したとき、このクリーチャーはシールドを2枚ブレイクする）","■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ Evolution-Put on one of your Initiates.
■ Fire stealth (This creature can't be blocked while your opponent has any fire cards in his mana zone.)
■ Double breaker (This creature breaks 2 shields.)"
428,894,card_text,イニシエート,イニシエート,Initiate
429,895,card_text,光封樹,Trap Tree,Pulsar Tree
430,896,card_text,＊このクリーチャーがバトルゾーンにある間、自分のシールドが１枚ブレイクされるとき、かわりにこのクリーチャーを自分の墓地に置いてもよい。,＊このクリーチャーがバトルゾーンにある間、自分のシールドが１枚ブレイクされるとき、かわりにこのクリーチャーを自分の墓地に置いてもよい。,"■ When one of your shields would be broken, you may destroy this creature instead."
431,897,card_text,塔の灯が、悪しき心を吸い寄せる。,塔の灯が、悪しき心を吸い寄せる。,
432,898,card_text,スターライト・ツリー,スターライト・ツリー,Starlight Tree
433,899,card_text,ジャスティス・ジャミング,Justice Jamming,Justice Jamming
434,900,card_text,＊バトルゾーンにあるすべての闇のクリーチャーか、すべての火のクリーチャーどちらかをタップする。,＊バトルゾーンにあるすべての闇のクリーチャーか、すべての火のクリーチャーどちらかをタップする。,"■ Tap all darkness creatures in the battle zone, or tap all fire creatures in the battle zone."
435,901,card_text,突如現れた石碑の群れが、敵の視界を幻惑する。,突如現れた石碑の群れが、敵の視界を幻惑する。,
436,902,card_text,キャバリア・シャーク,Cavalier Shark,Trenchdive Shark
437,903,card_text,＊このクリーチャーがバトルゾーンに出たとき、自分の手札から2枚まで選び、裏向きにして自分のシールドに加えてもよい。そうした場合、同じ枚数の自分のシールドを裏向きのまま選び、自分の手札に加える。ただし、その「Ｓ・トリガー」は使えない。,＊このクリーチャーがバトルゾーンに出たとき、自分の手札から2枚まで選び、裏向きにして自分のシールドに加えてもよい。そうした場合、同じ枚数の自分のシールドを裏向きのまま選び、自分の手札に加える。ただし、その「Ｓ・トリガー」は使えない。,"■ When you put this creature into the battle zone, you may add up to 2 cards from your hand to your shields face down. If you do, choose the same number of your shields and put them into your hand. You can't use the ""shield trigger"" ability of those shields."
438,904,card_text,ゲル・フィッシュ,ゲル・フィッシュ,Gel Fish
439,905,card_text,アクア・フェンサー,Aqua Fencer,Aqua Fencer
440,906,card_text,"＊このクリーチャーで攻撃するかわりに、タップして次の t 能力を使ってもよい。
 t 相手のマナゾーンからカードを1枚選ぶ。相手はそれを持ち主の手札に戻す。","＊このクリーチャーで攻撃するかわりに、タップして次の t 能力を使ってもよい。
 t 相手のマナゾーンからカードを1枚選ぶ。相手はそれを持ち主の手札に戻す。","■ Instead of having this creature attack, you may tap it to use its tap ability.
 Choose a card in your opponent's mana zone and return it to his hand."
441,907,card_text,無言で敵を切り刻む。,無言で敵を切り刻む。,
442,908,card_text,リキッド・ピープル,リキッド・ピープル,Liquid People
443,909,card_text,ビアンカス,Biancus,Biancus
444,910,card_text,"{B}ブロッカー
＊このクリーチャーで攻撃するかわりに、タップして次の t 能力を使ってもよい。
 t  バトルゾーンにある自分のクリーチャーを1体選ぶ。このターン、そのクリーチャーはブロックされない。","{B}ブロッカー
＊このクリーチャーで攻撃するかわりに、タップして次の t 能力を使ってもよい。
 t  バトルゾーンにある自分のクリーチャーを1体選ぶ。このターン、そのクリーチャーはブロックされない。","■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ Instead of having this creature attack, you may tap it to use its tap ability.
 Choose one of your creatures in the battle zone. It can't be blocked this turn."
445,911,card_text,シー・ハッカー,シー・ハッカー,Sea Hacker
446,912,card_text,超幻獣ドグザバル,Phantom Beast Dogzabal,Phantasmal Horror Gigazabal
447,913,card_text,"＊進化-自分のキマイラ１体の上に置く。
＊光ステルス（相手のマナゾーンに光のカードが１枚でもあれば、このクリーチャーはブロックされない）
＊W・ブレイカー（シールドを攻撃したとき、このクリーチャーはシールドを2枚ブレイクする）","＊進化-自分のキマイラ１体の上に置く。
＊光ステルス（相手のマナゾーンに光のカードが１枚でもあれば、このクリーチャーはブロックされない）
＊W・ブレイカー（シールドを攻撃したとき、このクリーチャーはシールドを2枚ブレイクする）","■ Evolution-Put on one of your Chimeras.
■ Light stealth (This creature can't be blocked while your opponent has any light cards in his mana zone.)
■ Double breaker (This creature breaks 2 shields.)"
448,914,card_text,暴虐の炎に、白き都は灰燼と化した。,暴虐の炎に、白き都は灰燼と化した。,
449,915,card_text,キマイラ,キマイラ,Chimera
450,916,card_text,ギガバスター,Gigabuster,Gigabuster
451,917,card_text,"{B} ブロッカー
＊このクリーチャーがバトルゾーンに出たとき、自分のシールドが1枚でもあれば、その中から１枚を裏向きのまま選び、自分の手札に加える。ただし、その「Ｓ・トリガー」は使えない。
＊このクリーチャーは攻撃することができない。","{B} ブロッカー
＊このクリーチャーがバトルゾーンに出たとき、自分のシールドが1枚でもあれば、その中から１枚を裏向きのまま選び、自分の手札に加える。ただし、その「Ｓ・トリガー」は使えない。
＊このクリーチャーは攻撃することができない。","■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ When you put this creature into the battle zone, choose one of your shields and put it into your hand. You can't use the ""shield trigger"" ability of that shield.
■ This creature can't attack."
452,918,card_text,キマイラ,キマイラ,Chimera
453,919,card_text,チェイン・スラッシュ,Chain Slash,Hopeless Vortex
454,920,card_text,＊バトルゾーンにある相手のクリーチャーを1体選ぶ。相手はそれを持ち主の墓地に置く。,＊バトルゾーンにある相手のクリーチャーを1体選ぶ。相手はそれを持ち主の墓地に置く。,■ Destroy one of your opponent's creatures.
455,921,card_text,憎しみや悲しみは連鎖する。,憎しみや悲しみは連鎖する。,
456,922,card_text,超巨岩獣ヴォルクラウザー,Ultra Rock Beast Valkrauser,"Valkrowzer, Ultra Rock Beast"
457,923,card_text,"＊進化-自分のロック・ビースト１体の上に置く。
＊水ステルス（相手のマナゾーンに水のカードが１枚でもあれば、このクリーチャーはブロックされない）
＊W・ブレイカー（シールドを攻撃したとき、このクリーチャーはシールドを2枚ブレイクする）","＊進化-自分のロック・ビースト１体の上に置く。
＊水ステルス（相手のマナゾーンに水のカードが１枚でもあれば、このクリーチャーはブロックされない）
＊W・ブレイカー（シールドを攻撃したとき、このクリーチャーはシールドを2枚ブレイクする）","■ Evolution-Put on one of your Rock Beasts.
■ Water stealth (This creature can't be blocked while your opponent has any water cards in his mana zone.)
■ Double breaker (This creature breaks 2 shields.)"
458,924,card_text,一瞬にして、海底都市は遺跡に成り下がった。,一瞬にして、海底都市は遺跡に成り下がった。,
459,925,card_text,ロック・ビースト,ロック・ビースト,Rock Beast
460,926,card_text,ピーポのバール,Pipo's Ball,Kipo's Contraption
461,927,card_text,"＊このクリーチャーで攻撃するかわりに、タップして次の t 能力を使ってもよい。
 t バトルゾーンにあるパワー2000以下の相手のクリーチャーを１体選ぶ。相手はそれを持ち主の墓地に置く。","＊このクリーチャーで攻撃するかわりに、タップして次の t 能力を使ってもよい。
 t バトルゾーンにあるパワー2000以下の相手のクリーチャーを１体選ぶ。相手はそれを持ち主の墓地に置く。","■ Instead of having this creature attack, you may tap it to use its tap ability.
 Destroy one of your opponent's creatures that has power 2000 or less."
462,928,card_text,早く破壊しちゃって！  - 技師ピーポ,早く破壊しちゃって！  - 技師ピーポ,
463,929,card_text,ゼノパーツ,ゼノパーツ,Xenoparts
464,930,card_text,地獄万力,Hell's Vise,Apocalypse Vise
465,931,card_text,＊バトルゾーンにある相手のクリーチャーを、パワーの合計が8000以下になるように好きな数選ぶ。相手はそれを持ち主の墓地に置く。,＊バトルゾーンにある相手のクリーチャーを、パワーの合計が8000以下になるように好きな数選ぶ。相手はそれを持ち主の墓地に置く。,■ Destroy any number of your opponent's creatures that have total power 8000 or less.
466,932,card_text,痛いの痛いの入り込め。,痛いの痛いの入り込め。,
467,933,card_text,世界樹ユグドラジーガ,World Tree Yggdrasiga,"World Tree, Root of Life"
468,934,card_text,"＊進化-自分のツリー・フォーク１体の上に置く。
＊パワーアタッカー+2000（攻撃中、このクリーチャーのパワーは+2000される）
＊闇ステルス（相手のマナゾーンに闇のカードが１枚でもあれば、このクリーチャーはブロックされない）
＊W・ブレイカー","＊進化-自分のツリー・フォーク１体の上に置く。
＊パワーアタッカー+2000（攻撃中、このクリーチャーのパワーは+2000される）
＊闇ステルス（相手のマナゾーンに闇のカードが１枚でもあれば、このクリーチャーはブロックされない）
＊W・ブレイカー","■ Evolution-Put on one of your Tree Folk.
■ Power attacker +2000 (While attacking, this creature gets +2000 power.)
■ Darkness stealth (This creature can't be blocked while your opponent has any darkness cards in his mana zone.)
■ Double breaker (This creature breaks 2 shields.)"
469,935,card_text,ツリーフォーク,ツリーフォーク,Tree Folk
470,936,card_text,呪紋の化身,Cursed Totem,Cryptic Totem
471,937,card_text,"＊W・ブレイカー（シールドを攻撃したとき、このクリーチャーはシールドを2枚ブレイクする）
＊このクリーチャーがバトルゾーンにある間、相手は「Ｓ・トリガー」を使えない。","＊W・ブレイカー（シールドを攻撃したとき、このクリーチャーはシールドを2枚ブレイクする）
＊このクリーチャーがバトルゾーンにある間、相手は「Ｓ・トリガー」を使えない。","■ Double breaker (This creature breaks 2 shields.)
■ While this creature is tapped, your opponent can't use the ""shield trigger"" ability of his shields."
472,938,card_text,タオパブの木で作られた杖は、魔術師の力を増幅するだろう。しかし、その力に頼りすぎた魔術師は己と杖の区別を失ってしまう。,タオパブの木で作られた杖は、魔術師の力を増幅するだろう。しかし、その力に頼りすぎた魔術師は己と杖の区別を失ってしまう。,
473,939,card_text,ミステリー・トーテム,ミステリー・トーテム,Mystery Totem
474,940,card_text,草原の 種,Grass seed,"Tangle Fist, the Weaver"
475,941,card_text,"＊このクリーチャーで攻撃するかわりに、タップして次の t 能力を使ってもよい。
 t 自分の手札から3枚まで選び、自分のマナゾーンに置く。","＊このクリーチャーで攻撃するかわりに、タップして次の t 能力を使ってもよい。
 t 自分の手札から3枚まで選び、自分のマナゾーンに置く。","■ Instead of having this creature attack, you may tap it to use its tap ability.
 Put up to 3 cards from your hand into your mana zone."
476,942,card_text,旗揚げには、奴の力が必要なんだ！ --小さな勇者ゲット,旗揚げには、奴の力が必要なんだ！ --小さな勇者ゲット,
477,943,card_text,ビーストフォーク,ビーストフォーク,Beast Folk
478,944,card_text,宣凶師ロンドビル,Rondobil the Missionary,"Rondobil, the Explorer"
479,945,card_text,"＊このクリーチャーで攻撃するかわりに、タップして次の t 能力を使ってもよい。 
t バトルゾーンにある自分のクリーチャーを1体選び、裏向きにして自分のシールドに加える。","＊このクリーチャーで攻撃するかわりに、タップして次の t 能力を使ってもよい。 
t バトルゾーンにある自分のクリーチャーを1体選び、裏向きにして自分のシールドに加える。","■ Instead of having this creature attack, you may tap it to use its tap ability.
 Add one of your creatures from the battle zone to your shields face down."
480,946,card_text,ひでぇよ、空からまとめて吸うなんて！  - 解体屋ピーカプ,ひでぇよ、空からまとめて吸うなんて！  - 解体屋ピーカプ,
481,947,card_text,グラディエーター,グラディエーター,Gladiator
482,948,card_text,聖騎士プラネットシャイン,"Planet Shine, the Holy Warrior","Geoshine, Spectral Knight"
483,949,card_text,＊このクリーチャーが攻撃するとき、バトルゾーンにある闇または火のクリーチャーを1体選び、タップしてもよい。（ただし、まず何を攻撃するか選んでから、タップしたいクリーチャーを選ぶ）,＊このクリーチャーが攻撃するとき、バトルゾーンにある闇または火のクリーチャーを1体選び、タップしてもよい。（ただし、まず何を攻撃するか選んでから、タップしたいクリーチャーを選ぶ）,"■ Whenever this creature attacks, you may choose a darkness or fire creature in the battle zone and tap it. (First choose what this creature is attacking. Then choose a creature to tap.)"
484,950,card_text,折れた剣は、より鋭い武器を生む。,折れた剣は、より鋭い武器を生む。,
485,951,card_text,レインボー・ファントム,レインボー・ファントム,Rainbow Phantom
486,952,card_text,ライトニング・チャージャー,Lightning Charger,Lightning Charger
487,953,card_text,"＊バトルゾーンにある相手のクリーチャーを１体選び、タップする。
＊チャージャー（この呪文を唱えた後、墓地に置くかわりに自分のマナゾーンに置く）","＊バトルゾーンにある相手のクリーチャーを１体選び、タップする。
＊チャージャー（この呪文を唱えた後、墓地に置くかわりに自分のマナゾーンに置く）","■ Choose one of your opponent's creatures in the battle zone and tap it.
■ Charger (After you cast this spell, put it into your mana zone instead of your graveyard.)"
488,954,card_text,この時を逃すな！,この時を逃すな！,
489,955,card_text,スプラッシュ・ゼブラフィッシュ,Splash Zebrafish,Splash Zebrafish
490,956,card_text,"＊このクリーチャーがバトルゾーンに出たとき、自分のマナゾーンからカードを1枚選び、自分の手札に戻す。
＊このクリーチャーはブロックされない。","＊このクリーチャーがバトルゾーンに出たとき、自分のマナゾーンからカードを1枚選び、自分の手札に戻す。
＊このクリーチャーはブロックされない。","■ When you put this creature into the battle zone, return a card from your mana zone to your hand.
■ This creature can't be blocked."
491,957,card_text,予想外の事態に、非常用採掘プログラムが搭載された。,予想外の事態に、非常用採掘プログラムが搭載された。,
492,958,card_text,ゲル・フィッシュ,ゲル・フィッシュ,Gel Fish
493,959,card_text,キュリアス・アイ,Curious Eye,Curious Eye
494,960,card_text,＊このクリーチャーが攻撃するとき、相手のシールドを１枚見てもよい。その後、そのシールドを元の場所に戻す。,＊このクリーチャーが攻撃するとき、相手のシールドを１枚見てもよい。その後、そのシールドを元の場所に戻す。,"■ Whenever this creature attacks, you may look at one of your opponent's shields. Then put it back where it was."
495,961,card_text,小さな小さな探偵を闇の世界に送ったよ。  - エメラル,小さな小さな探偵を闇の世界に送ったよ。  - エメラル,
496,962,card_text,サイバー・ウイルス,サイバー・ウイルス,Cyber Virus
497,963,card_text,スパイラル・チャージャー,Spiral Charger,Riptide Charger
498,964,card_text,"＊バトルゾーンにあるクリーチャーを1体選び、持ち主の手札に戻す。
＊チャージャー（この呪文を唱えた後、墓地に置くかわりに自分のマナゾーンに置く）","＊バトルゾーンにあるクリーチャーを1体選び、持ち主の手札に戻す。
＊チャージャー（この呪文を唱えた後、墓地に置くかわりに自分のマナゾーンに置く）","■ Choose a creature in the battle zone and return it to its owner's hand.
■ Charger (After you cast this spell, put it into your mana zone instead of your graveyard.)"
499,965,card_text,出直しやがれ！,出直しやがれ！,
500,966,card_text,三面怪人アシュラファング,Three-faced Mutant Ashura Fang,Three-Faced Ashura Fang
501,967,card_text,＊このクリーチャーがバトルゾーンに出たとき、自分のシールドが1枚でもあれば、その中から１枚を裏向きのまま選び、自分の手札に加える。ただし、その「Ｓ・トリガー」は使えない。,＊このクリーチャーがバトルゾーンに出たとき、自分のシールドが1枚でもあれば、その中から１枚を裏向きのまま選び、自分の手札に加える。ただし、その「Ｓ・トリガー」は使えない。,"■ When you put this creature into the battle zone, choose one of your shields and put it into your hand. You can't use the ""shield trigger"" ability of that shield."
502,968,card_text,三面、全てが凶暴フェイス。,三面、全てが凶暴フェイス。,
503,969,card_text,デビルマスク,デビルマスク,Devil Mask
504,970,card_text,ポイズン・ティアラ,Poison Tiara,Scalpel Spider
505,971,card_text,＊攻撃を受けたとき、このクリーチャーはこのターンが終わるまで「スレイヤー」を得る。（このクリーチャーとバトルした相手クリーチャーは、勝っても持ち主の墓地に置かれる）,＊攻撃を受けたとき、このクリーチャーはこのターンが終わるまで「スレイヤー」を得る。（このクリーチャーとバトルした相手クリーチャーは、勝っても持ち主の墓地に置かれる）,"■ Whenever this creature is attacked, it gets ""slayer"" until the end of the turn. (Whenever a creature that has ""slayer"" battles, destroy the other creature after the battle.)"
506,972,card_text,ビースト軍団の侵攻を察知したポイズン・ティアラは死のトラップを張り巡らした。,ビースト軍団の侵攻を察知したポイズン・ティアラは死のトラップを張り巡らした。,
507,973,card_text,ブレインジャッカー,ブレインジャッカー,Brain Jacker
508,974,card_text,ブラッディ・チャージャー,Bloody Charger,Venom Charger
509,975,card_text,"＊バトルゾーンにある自分のクリーチャーを１体選ぶ。このターンが終わるまで、そのクリーチャーは「スレイヤー」を得る。（このクリーチャーとバトルした相手クリーチャーは、勝っても持ち主の墓地に置かれる）　　
＊チャージャー（この呪文を唱えた後、墓地に置くかわりに自分のマナゾーンに置く）","＊バトルゾーンにある自分のクリーチャーを１体選ぶ。このターンが終わるまで、そのクリーチャーは「スレイヤー」を得る。（このクリーチャーとバトルした相手クリーチャーは、勝っても持ち主の墓地に置かれる）　　
＊チャージャー（この呪文を唱えた後、墓地に置くかわりに自分のマナゾーンに置く）","■ One of your creatures in the battle zone gets ""slayer"" until the end of the turn. (Whenever a creature that has ""slayer"" battles, destroy the other creature after the battle.)
■ Charger (After you cast this spell, put it into your mana zone instead of your graveyard.)"
510,976,card_text,怪神兵ナグール,Otherworldly Warrior Nagul,Otherworldly Warrior Naglu
511,977,card_text,"＊パワーアタッカー+3000（攻撃中、このクリーチャーのパワーは+3000される）
＊W・ブレイカー（シールドを攻撃したとき、このクリーチャーはシールドを2枚ブレイクする）
＊このクリーチャーは攻撃されない。","＊パワーアタッカー+3000（攻撃中、このクリーチャーのパワーは+3000される）
＊W・ブレイカー（シールドを攻撃したとき、このクリーチャーはシールドを2枚ブレイクする）
＊このクリーチャーは攻撃されない。","■ This creature can't be attacked.
■ Power attacker +3000 (While attacking, this creature gets +3000 power.)
■ Double breaker (This creature breaks 2 shields.)"
512,978,card_text,敵も見かけに騙される。,敵も見かけに騙される。,
513,979,card_text,アーマロイド,アーマロイド,Armorloid
514,980,card_text,クレーターザウルス,Cratersaur,Cratersaur
515,981,card_text,＊自分のシールドが1枚もなければ、このクリーチャーは「パワーアタッカー+3000」を得、タップされていないクリーチャーを攻撃することができる。,＊自分のシールドが1枚もなければ、このクリーチャーは「パワーアタッカー+3000」を得、タップされていないクリーチャーを攻撃することができる。,"■ While you have no shields, this creature can attack untapped creatures and has ""Power attacker +3000 (While attacking, this creature gets +3000 power)."""
516,982,card_text,溶岩の血が大惨事を巻き起こす。,溶岩の血が大惨事を巻き起こす。,
517,983,card_text,ロック・ビースト,ロック・ビースト,Rock Beast
518,984,card_text,エナジー・チャージャー,Energy Charger,Energy Charger
519,985,card_text,"＊バトルゾーンにある自分のクリーチャーを１体選ぶ。このターンが終わるまで、そのクリーチャーのパワーは+2000される。
＊チャージャー（この呪文を唱えた後、墓地に置くかわりに自分のマナゾーンに置く）","＊バトルゾーンにある自分のクリーチャーを１体選ぶ。このターンが終わるまで、そのクリーチャーのパワーは+2000される。
＊チャージャー（この呪文を唱えた後、墓地に置くかわりに自分のマナゾーンに置く）","■ One of your creatures gets +2000 power until the end of the turn.
■ Charger (After you cast this spell, put it into your mana zone instead of your graveyard.)"
520,986,card_text,勝負はこれからだ！,勝負はこれからだ！,
521,987,card_text,シェル・ブリーダー,Shell Breeder,Brood Shell
522,988,card_text,"＊このクリーチャーで攻撃するかわりに、タップして次の t 能力を使ってもよい。 
 t 自分のマナゾーンからクリーチャーを１体選び、自分の手札に戻す。","＊このクリーチャーで攻撃するかわりに、タップして次の t 能力を使ってもよい。 
 t 自分のマナゾーンからクリーチャーを１体選び、自分の手札に戻す。","■ Instead of having this creature attack, you may tap it to use its tap ability.
 Return a creature from your mana zone to your hand."
523,989,card_text,ぷくりとふくらむ腹の中、卵が一杯隠れてる。,ぷくりとふくらむ腹の中、卵が一杯隠れてる。,
524,990,card_text,コロニー・ビートル,コロニー・ビートル,Colony Beetle
525,991,card_text,不死身の果実,Undying Fruit,Fruit of Eternity
526,992,card_text,"{ST} S・トリガー（この呪文をシールドゾーンから手札に加えるとき、コストを支払わずにすぐ唱えてよい）
＊このターン、自分のクリーチャー１体がバトルゾーンから自分の墓地に置かれるとき、墓地に置くかわりに自分のマナゾーンに置く。","{ST} S・トリガー（この呪文をシールドゾーンから手札に加えるとき、コストを支払わずにすぐ唱えてよい）
＊このターン、自分のクリーチャー１体がバトルゾーンから自分の墓地に置かれるとき、墓地に置くかわりに自分のマナゾーンに置く。","■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Whenever any of your creatures would be destroyed this turn, put it into your mana zone instead."
527,993,card_text,メビウス・チャージャー,Moebius Charger,Mulch Charger
528,994,card_text,"＊バトルゾーンにある自分のクリーチャーを1体選び、自分のマナゾーンに置く。
＊チャージャー（この呪文を唱えた後、墓地に置くかわりに自分のマナゾーンに置く）","＊バトルゾーンにある自分のクリーチャーを1体選び、自分のマナゾーンに置く。
＊チャージャー（この呪文を唱えた後、墓地に置くかわりに自分のマナゾーンに置く）","■ Put one of your creatures from the battle zone into your mana zone.
■ Charger (After you cast this spell, put it into your mana zone instead of your graveyard.)"
529,995,card_text,肉体という器を捨て、生命の大河は流れ続ける。,肉体という器を捨て、生命の大河は流れ続ける。,
530,996,card_text,白夜の守護者ロディ・ゲール,"Rodi Gale, Guardian of the White Night","Rodi Gale, Night Guardian"
531,997,card_text,＊闇ステルス（相手のマナゾーンに闇のカードが１枚でもあれば、このクリーチャーはブロックされない）,＊闇ステルス（相手のマナゾーンに闇のカードが１枚でもあれば、このクリーチャーはブロックされない）,■ Darkness stealth (This creature can't be blocked while your opponent has any darkness cards in his mana zone.)
532,998,card_text,光の国に深く刻まれた戦いの傷跡。さらなる軍勢が来襲したその時、砕けた使徒の魂が、倒れた聖騎士の精神が、闇の力を封じる盾となる。,光の国に深く刻まれた戦いの傷跡。さらなる軍勢が来襲したその時、砕けた使徒の魂が、倒れた聖騎士の精神が、闇の力を封じる盾となる。,
533,999,card_text,ガーディアン,ガーディアン,Guardian
534,1000,card_text,捕縛の使徒ローム,"Rom, Apostle of Trapping","Rom, Vizier of Tendrils"
535,1001,card_text,＊このクリーチャーがバトルゾーンに出たとき、バトルゾーンにある相手のクリーチャーを1体選び、タップしてもよい。,＊このクリーチャーがバトルゾーンに出たとき、バトルゾーンにある相手のクリーチャーを1体選び、タップしてもよい。,"■ When you put this creature into the battle zone, you may choose one of your opponent's creatures in the battle zone and tap it."
536,1002,card_text,捕縛の使徒よ、覚醒せよ。汝の鞭は闇照らす希望なり。,捕縛の使徒よ、覚醒せよ。汝の鞭は闇照らす希望なり。,
537,1003,card_text,イニシエート,イニシエート,Initiate
538,1004,card_text,予言者ベクス,"Becks, the Prophet","Bex, the Oracle"
539,1005,card_text,＊自分のシールドが1枚もなければ、このクリーチャーは「ブロッカー」を得る。（相手クリーチャーが攻撃するとき、このクリーチャーをタップして、その攻撃を阻止してよい。その後、その相手クリーチャーとバトルする）,＊自分のシールドが1枚もなければ、このクリーチャーは「ブロッカー」を得る。（相手クリーチャーが攻撃するとき、このクリーチャーをタップして、その攻撃を阻止してよい。その後、その相手クリーチャーとバトルする）,"■ While you have no shields, this creature has ""blocker"". (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)"
540,1006,card_text,予言者の歌声は、夢見の神殿の門を開いた。,予言者の歌声は、夢見の神殿の門を開いた。,
541,1007,card_text,ライトブリンガー,ライトブリンガー,Light Bringer
542,1008,card_text,ミラクル・ポータル,Miracle Portal,Miracle Portal
543,1009,card_text,＊バトルゾーンにある自分のクリーチャーを1体選ぶ。このターン、そのクリーチャーはブロックされない。また、「このクリーチャーは攻撃することができない」または「このクリーチャーは相手プレイヤーを攻撃できない」と書かれていても、このターンそのクリーチャーは相手プレイヤーを攻撃することができる。,＊バトルゾーンにある自分のクリーチャーを1体選ぶ。このターン、そのクリーチャーはブロックされない。また、「このクリーチャーは攻撃することができない」または「このクリーチャーは相手プレイヤーを攻撃できない」と書かれていても、このターンそのクリーチャーは相手プレイヤーを攻撃することができる。,"■ Choose one of your creatures in the battle zone. This turn, it can't be blocked and you ignore any effects that would prevent that creature from attacking your opponent. (For example, ignore summoning sickness and card effects that say ""This creature can't attack"" or ""This creature can't attack players."" Your creatures can't attack creatures this way.)"
544,1010,card_text,アクア・エージェント,Aqua Agent,Aqua Agent
545,1011,card_text,"＊水ステルス（相手のマナゾーンに水のカードが１枚でもあれば、このクリーチャーはブロックされない）
＊このクリーチャーがバトルゾーンから自分の墓地に置かれるとき、墓地に置くかわりに自分の手札に戻してもよい。","＊水ステルス（相手のマナゾーンに水のカードが１枚でもあれば、このクリーチャーはブロックされない）
＊このクリーチャーがバトルゾーンから自分の墓地に置かれるとき、墓地に置くかわりに自分の手札に戻してもよい。","■ Water stealth (This creature can't be blocked while your opponent has any water cards in his mana zone.)
■ When this creature would be destroyed, you may return it to your hand instead."
546,1012,card_text,サイバー都市の破壊。光り輝く塔の上で、買収されたエージェントは不義のミッションを心に刻み込んだ。,サイバー都市の破壊。光り輝く塔の上で、買収されたエージェントは不義のミッションを心に刻み込んだ。,
547,1013,card_text,リキッド・ピープル,リキッド・ピープル,Liquid People
548,1014,card_text,ウォール・クラスター,Wall Cluster,Titanium Cluster
549,1015,card_text,"{B}ブロッカー（相手クリーチャーが攻撃するとき、このクリーチャーをタップして、その攻撃を阻止してよい。その後、その相手クリーチャーとバトルする）　
＊このクリーチャーは攻撃することができない。
＊このクリーチャーは攻撃されない。","{B}ブロッカー（相手クリーチャーが攻撃するとき、このクリーチャーをタップして、その攻撃を阻止してよい。その後、その相手クリーチャーとバトルする）　
＊このクリーチャーは攻撃することができない。
＊このクリーチャーは攻撃されない。","■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't be attacked.
■ This creature can't attack."
550,1016,card_text,誰も気付かぬ深海で、裏切りのプログラムが動き始めていた。,誰も気付かぬ深海で、裏切りのプログラムが動き始めていた。,
551,1017,card_text,サイバー・クラスター,サイバー・クラスター,Cyber Cluster
552,1018,card_text,ガラティアヌス,Garatyanus,Garatyano
553,1019,card_text,"＊このクリーチャーで攻撃するかわりに、タップして次の t 能力を使ってもよい。
 t 自分の山札のカードを上から3枚見る。その後、これを好きな順番で元に戻す。","＊このクリーチャーで攻撃するかわりに、タップして次の t 能力を使ってもよい。
 t 自分の山札のカードを上から3枚見る。その後、これを好きな順番で元に戻す。","■ Instead of having this creature attack, you may tap it to use its tap ability.
 Look at the top 3 cards of your deck. Then put them back in any order."
