seq,large_chunk,small_chunk,resource_key,canonical_key,internal_id,japanese_name,english_name,card_type,race,rules,flavor,mapping,large_chunk_size,inner_archive_size,outer_slack
175,852,1535,6_28,6_28,160,邪魂転生,Intense Evil,SPELL,,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Destroy any number of your creatures. Then draw that many cards.",,crosswalk,137216,135424,1792
176,853,1536,6_29,6_29,161,シグマ・トゥレイト,Q-tronic Gargantua,EVOLUTION CREATURE,Survivor,"■ Evolution-Put on one of your Survivors.
■ Crew breaker-Survivor (This creature breaks one more shield for each of your other Survivors in the battle zone.)",,crosswalk,141312,140544,768
177,854,1537,6_30,6_30,162,機神装甲ヴァルカイザー,Armored Decimator Valkaizer,EVOLUTION CREATURE,Human,"■ Evolution-Put on one of your Humans.
■ When you put this creature into the battle zone, you may destroy one of your opponent's creatures that has power 4000 or less.",,crosswalk,145408,144384,1024
178,855,1538,6_31,6_31,163,バザガジール・ドラゴン,Bazagazeal Dragon,CREATURE,Armored Dragon,"■ Speed attacker (This creature doesn't get summoning sickness.)
■ This creature can attack untapped creatures.
■ Double breaker
■ At the end of your turn, return this creature to your hand.",,crosswalk,135168,135168,0
179,856,1539,6_32,6_32,164,ピーカプ・リザード,Badlands Lizard,CREATURE,Dune Gecko,"■ Power attacker +3000 (While attacking, this creature gets +3000 power.)
■ Whenever this creature becomes blocked, no battle happens. (Both creatures stay tapped.)",,crosswalk,149504,149248,256
180,857,1540,6_33,6_33,165,ピーカプのドライバー,Rikabu's Screwdriver,CREATURE,Xenoparts,"■ Instead of having this creature attack, you may tap it to use its tap ability.
 Destroy one of your opponent's creatures that has ""blocker.""",,crosswalk,124928,124416,512
181,858,1541,6_34,6_34,166,クライシス・ボーラー,Crisis Boulder,SPELL,,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Your opponent chooses one of his creatures in the battle zone or a card in his mana zone and puts it into his graveyard.",,crosswalk,118784,118272,512
182,859,1542,6_35,6_35,167,超空要塞バビロン,Living Citadel Vosh,EVOLUTION CREATURE,Colony Beetle,"■ Evolution-Put on one of your Colony Beetles.
■ Each of your nature creatures may tap instead of attacking to use this creature's tap ability.
 Put the top card of your deck into your mana zone.",,crosswalk,147456,146432,1024
183,860,1543,6_36,6_36,168,殺戮の化身,Clobber Totem,CREATURE,Mystery Totem,"■ Power attacker +2000 (While attacking, this creature gets +2000 power.)
■ This creature can't be blocked by any creature that has power 5000 or less.
■ Double breaker (This creature breaks 2 shields.)",,crosswalk,143360,142336,1024
184,861,1544,6_37,6_37,169,シェル・ファクトリーγ,Factory Shell Q,CREATURE,Survivor/Colony Beetle,"■ Survivor (Each of your Survivors has this creature's Survivor ability.)
  When you put this creature into the battle zone, search your deck. You may take a Survivor from your deck, show that Survivor to your opponent, and put it into your hand. Then shuffle your deck.",,crosswalk,145408,143872,1536
185,862,1545,6_38,6_38,170,戦いの化身,Forbidding Totem,CREATURE,Mystery Totem,■ Your opponent's attacking creatures attack Mystery Totems if able.,,crosswalk,133120,132352,768
186,863,1546,6_39,6_39,171,魅了妖精チャミリア,"Charmilia, the Enticer",CREATURE,Snow Faerie,"■ Instead of having this creature attack, you may tap it to use its tap ability.
 Search your deck. You may take a creature from your deck, show that creature to your opponent, and put it into your hand. Then shuffle your deck.",,crosswalk,145408,145408,0
187,864,1547,6_40,6_40,172,神秘の宝箱,Mystic Treasure Chest,SPELL,,■ Search your deck. You may take a non-nature card from your deck and put it into your mana zone. Then shuffle your deck.,,crosswalk,131072,129536,1536
188,865,1548,6_41,6_41,173,飛雲の求道者ダバ・トーレ,"Dava Torey, Seeker of Clouds",CREATURE,Mecha Thunder,"■ During your opponent's turn, if this creature would be discarded from your hand, put it into the battle zone instead.",,crosswalk,122880,121856,1024
189,866,1549,6_42,6_42,174,光柱樹,Razorpine Tree,CREATURE,Starlight Tree,■ This creature gets +2000 power for each shield you have.,,crosswalk,124928,123648,1280
190,867,1550,6_43,6_43,175,予言者アドミス,"Adomis, the Oracle",CREATURE,Light Bringer,"■ Instead of having this creature attack, you may tap it to use its tap ability.
 Choose a shield and look at it. Then put it back where it was.",,crosswalk,116736,116480,256
191,868,1551,6_44,6_44,176,聖騎士ムーンティアー,"Moontear, Spectral Knight",CREATURE,Rainbow Phantom,■ You can summon this creature only if you have cast a spell this turn.,,crosswalk,112640,112640,0
192,869,1552,6_45,6_45,177,レイン・アロー,Rain of Arrows,SPELL,,■ Look at your opponent's hand. He discards all darkness spells from it.,,crosswalk,112640,111872,768
193,870,1553,6_46,6_46,178,プロテクト・フォース,Protective Force,SPELL,,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ One of your creatures in the battle zone that has ""blocker"" gets +4000 power until the end of the turn.",,crosswalk,108544,108544,0
194,871,1554,6_47,6_47,179,シャインシェル・クラスター,Neon Cluster,CREATURE,Cyber Cluster,"■ Instead of having this creature attack, you may tap it to use its tap ability.
 Draw 2 cards.",,crosswalk,122880,121344,1536
195,872,1555,6_48,6_48,180,ハザード・クロウラー,Hazard Crawler,CREATURE,Earth Eater,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack.",,crosswalk,124928,124160,768
196,873,1556,6_49,6_49,181,デコ・クラスター,Overload Cluster,CREATURE,Cyber Cluster,"■ Whenever your opponent summons a creature or casts a spell, this creature gets ""blocker"" until the end of the turn. (Whenever an opponent's creature attacks, you may tap a creature that has ""blocker"" to stop the attack. Then the 2 creatures battle.)",,crosswalk,137216,136448,768
197,874,1557,6_50,6_50,182,ストーム・クロウラー,Thrash Crawler,CREATURE,Earth Eater,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ When you put this creature into the battle zone, return a card from your mana zone to your hand.
■ This creature can't attack.",,crosswalk,126976,125696,1280
198,875,1558,6_51,6_51,183,ショック・ハリケーン,Shock Hurricane,SPELL,,■ Return any number of your creatures from the battle zone to your hand. Then you may choose that many of your opponent's creatures in the battle zone and return them to your opponent's hand.,,crosswalk,112640,112128,512
199,876,1559,6_52,6_52,184,ミスティック・クリエーション,Mystic Dreamscape,SPELL,,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Return up to 3 cards from your mana zone to your hand.",,crosswalk,120832,120064,768
200,877,1560,6_53,6_53,185,ギガボアー,Gigagriff,CREATURE,Chimera,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ Slayer (Whenever this creature battles, destroy the other creature after the battle.)
■ This creature can't attack.",,crosswalk,141312,140544,768
201,878,1561,6_54,6_54,186,戦男,Bazooka Mutant,CREATURE,Hedrian,"■ This creature can attack only creatures that have ""blocker.""
■ This creature can't attack players.",,crosswalk,131072,129792,1280
202,879,1562,6_55,6_55,187,鬼眼怪人スカルカッター,"Skullcutter, Swarm Leader",CREATURE,Devil Mask,"■ At the end of each of your turns, if this is your only creature in the battle zone, destroy it.",,crosswalk,147456,147456,0
203,880,1563,6_56,6_56,188,刃滅人形ポール,"Lupa, Poison-Tipped Doll",CREATURE,Death Puppet,"■ Instead of having this creature attack, you may tap it to use its tap ability.
 One of your creatures in the battle zone gets ""slayer"" until the end of the turn. (Whenever a creature that has ""slayer"" battles, destroy the other creature after the battle.)",,crosswalk,143360,141824,1536
204,881,1564,6_57,6_57,189,ヘル・スラッシュ,Hell Slash,SPELL,,■ Search your opponent's deck. Take up to 3 cards from their deck and put them into their graveyard. Then your opponent shuffles their deck.,Let them cut your bones. Then break their spirit.,crosswalk,131072,129536,1536
205,882,1565,6_58,6_58,190,死の宣告,Proclamation of Death,SPELL,,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Your opponent chooses one of his creatures in the battle zone and destroys it.",,crosswalk,135168,134144,1024
206,883,1566,6_59,6_59,191,スフィンティラノスβ,Rumblesaur Q,CREATURE,Rock Beast,"■ Survivor (Each of your Survivors has this creature's Survivor ability.)
  Speed attacker (This creature doesn't get summoning sickness.)",,crosswalk,143360,142080,1280
207,884,1567,6_60,6_60,192,エグゼズ・ワイバーン,Cutthroat Skyterror,CREATURE,Armored Wyvern,"■ Speed attacker (This creature doesn't get summoning sickness.)
■ This creature can't attack players.
■ At the end of your turn, return this creature to your hand.",,crosswalk,129024,127488,1536
208,885,1568,6_61,6_61,193,荒法師ミガサ,"Migasa, Adept of Chaos",CREATURE,Human,"■ Instead of having this creature attack, you may tap it to use its tap ability.
 One of your fire creatures in the battle zone gets ""double breaker"" until the end of the turn. (A creature that has ""double breaker"" breaks 2 shields.)",,crosswalk,139264,138752,512
209,886,1569,6_62,6_62,194,コッコ・ルピア,Cocco Lupia,CREATURE,Fire Bird,■ Your creatures that have Dragon in their race each cost 2 less to summon. (Dragonoids don't count.) They can't cost less than 2.,,crosswalk,133120,131328,1792
210,887,1570,6_63,6_63,195,ピコット・ミサイル,Spastic Missile,SPELL,,■ Destroy one of your opponent's creatures that has power 3000 or less.,,crosswalk,112640,111616,1024
211,888,1571,6_64,6_64,196,火炎流星弾,Comet Missile,SPELL,,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Destroy one of your opponent's creatures that has ""blocker"" and power 6000 or less.",,crosswalk,122880,121088,1792
212,889,1572,6_65,6_65,197,跳躍の超人,Cantankerous Giant,CREATURE,Giant,■ Double breaker (This creature breaks 2 shields.),,crosswalk,147456,146688,768
213,890,1573,6_66,6_66,198,恵みの化身,"Bliss Totem, Avatar of Luck",CREATURE,Mystery Totem,"■ Instead of having this creature attack, you may tap it to use its tap ability.
 Put up to 3 cards from your graveyard into your mana zone.",,crosswalk,147456,145664,1792
214,891,1574,6_67,6_67,199,激闘するフェザー・ホーン,"Feather Horn, the Tracker",CREATURE,Horned Beast,,,crosswalk,135168,134656,512
215,892,1575,6_68,6_68,200,樹界を守るパラダイス・ホーン,Paradise Horn,CREATURE,Horned Beast,"■ Power attacker +2000 (While attacking, this creature gets +2000 power.)",,crosswalk,129024,128768,256
216,893,1576,6_69,6_69,201,無垢の宝剣,"Innocent Hunter, Blade of All",CREATURE,Beast Folk,■ You can put an evolution creature of any race on this creature.,,crosswalk,139264,139008,256
217,894,1577,6_70,6_70,202,大自然の意志,Pangaea's Will,SPELL,,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Choose one of your opponent's evolution creatures in the battle zone and put the top card of that creature into your opponent's mana zone.",,crosswalk,137216,136704,512
218,895,1578,6_71,6_71,203,鋭刃の使徒グーレ・チェーン,"Chen Treg, Vizier of Blades",CREATURE,Initiate,"■ Instead of having this creature attack, you may tap it to use its tap ability.
 Choose one of your opponent's creatures in the battle zone and tap it.",,crosswalk,120832,120064,768
219,896,1579,6_72,6_72,204,不屈の使徒チーキ・クーレ,"Chekicul, Vizier of Endurance",CREATURE,Initiate,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ Whenever this creature blocks, no battle happens. (Both creatures stay tapped.)
■ This creature can't attack.",,crosswalk,120832,119296,1536
220,897,1580,6_73,6_73,205,宣凶師キンゼラ,"Kanesill, the Explorer",CREATURE,Gladiator,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack players.",,crosswalk,118784,116992,1792
221,898,1581,6_74,6_74,206,藍電草,Lightning Grass,CREATURE,Starlight Tree,,,crosswalk,122880,121600,1280
222,899,1582,6_75,6_75,207,電磁の使徒バルアス,"Ballas, Vizier of Electrons",CREATURE,Initiate,,,crosswalk,116736,115712,1024
223,900,1583,6_76,6_76,208,予言者ユーク,"Yuluk, the Oracle",CREATURE,Light Bringer,■ You can summon this creature only if you have cast a spell this turn.,,crosswalk,118784,117760,1024
224,901,1584,6_77,6_77,209,予言者ジェス,"Vess, the Oracle",CREATURE,Light Bringer,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack players.",,crosswalk,131072,130304,768
225,902,1585,6_78,6_78,210,エレメンタル・シールド,Sphere of Wonder,SPELL,,"■ If your opponent has more shields than you do, add the top card of your deck to your shields face down.",,crosswalk,108544,108032,512
226,903,1586,6_79,6_79,211,ソピアン,Sopian,CREATURE,Cyber Lord,"■ Instead of having this creature attack, you may tap it to use its tap ability.
 Choose one of your creatures in the battle zone. It can't be blocked this turn.",,crosswalk,129024,128768,256
227,904,1587,6_80,6_80,212,アクア・ライダー,Aqua Rider,CREATURE,Liquid People,"■ Whenever your opponent summons a creature or casts a spell, this creature gets ""blocker"" until the end of the turn. (Whenever an opponent's creature attacks, you may tap a creature that has ""blocker"" to stop the attack. Then the 2 creatures battle.)",,crosswalk,118784,118528,256
228,905,1588,6_81,6_81,213,プロメフィウスα,Promephius Q,CREATURE,Survivor/Sea Hacker,,,crosswalk,120832,120064,768
229,906,1589,6_82,6_82,214,マドリオン・フィッシュ,Madrillon Fish,CREATURE,Gel Fish,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack.",,crosswalk,129024,129024,0
230,907,1590,6_83,6_83,215,エレガント・ランプ,Steam Star,CREATURE,Cyber Virus,,,crosswalk,110592,110336,256
231,908,1591,6_84,6_84,216,ゼピメテウス,Zepimeteus,CREATURE,Sea Hacker,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack.",,crosswalk,108544,107008,1536
232,909,1592,6_85,6_85,217,エナジー・ライト,Energy Stream,SPELL,,■ Draw 2 cards.,,crosswalk,118784,118272,512
233,910,1593,6_86,6_86,218,スパイラル・ゲート,Spiral Gate,SPELL,,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Choose a creature in the battle zone and return it to its owner's hand.",,crosswalk,129024,127232,1792
234,911,1594,6_87,6_87,219,砕骨の刺客ゾルバス,"Zorvaz, the Bonecrusher",CREATURE,Demon Command,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack.
■ When this creature battles, destroy it after the battle.",,crosswalk,151552,150272,1280
235,912,1595,6_88,6_88,220,幽鬼の影リバース・ソウル,"Grim Soul, Shadow of Reversal",CREATURE,Ghost,"■ Instead of having this creature attack, you may tap it to use its tap ability.
 Return a darkness creature from your graveyard to your hand.",,crosswalk,149504,148992,512
236,913,1596,6_89,6_89,221,烈裂虫テンタクル・ワーム,Tentacle Worm,CREATURE,Parasite Worm,,,crosswalk,126976,125184,1792
237,914,1597,6_90,6_90,222,カース・ペンダント,Cursed Pincher,CREATURE,Brain Jacker,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ Slayer (Whenever this creature battles, destroy the other creature after the battle.)
■ This creature can't attack.",,crosswalk,135168,133888,1280
238,915,1598,6_91,6_91,223,逆歯怪人トマホーク,"Grinning Axe, the Monstrosity",CREATURE,Devil Mask,"■ Slayer (Whenever this creature battles, destroy the other creature after the battle.)",,crosswalk,131072,131072,0
239,916,1599,6_92,6_92,224,凶犬人形ジュンカツ,"Junkatz, Rabid Doll",CREATURE,Death Puppet,,,crosswalk,133120,131328,1792
240,917,1600,6_93,6_93,225,孤独の影ロンリー・ウォーカー,"Lone Tear, Shadow of Solitude",CREATURE,Ghost,"■ At the end of each of your turns, if this is your only creature in the battle zone, destroy it.",,crosswalk,145408,144896,512
241,918,1601,6_94,6_94,226,デス・スモーク,Death Smoke,SPELL,,■ Destroy one of your opponent's untapped creatures.,,crosswalk,122880,121344,1536
242,919,1602,6_95,6_95,227,ムラマサ・リザード,Legionnaire Lizard,CREATURE,Dune Gecko,"■ Speed attacker (This creature doesn't get summoning sickness.)
■ Instead of having this creature attack, you may tap it to use its tap ability.
 One of your creatures in the battle zone gets ""speed attacker"" until the end of the turn.",,crosswalk,129024,129024,0
243,920,1603,6_96,6_96,228,捜神兵グチェラリオン,Armored Scout Gestuchar,CREATURE,Armorloid,"■ While you have no other fire creatures in the battle zone, this creature has ""power attacker +3000"" and ""double breaker."" (A creature that has ""power attacker +3000"" and ""double breaker"" gets +3000 power while attacking and breaks 2 shields.)",,crosswalk,145408,144640,768
244,921,1604,6_97,6_97,229,撃神兵マシンガー,Automated Weaponmaster Machai,CREATURE,Armorloid,■ This creature attacks each turn if able.,,crosswalk,129024,128512,512
245,922,1605,6_98,6_98,230,襲撃者エグゼドライブ,Pyrofighter Magnus,CREATURE,Dragonoid,"■ Speed attacker (This creature doesn't get summoning sickness.)
■ At the end of your turn, return this creature to your hand.",,crosswalk,131072,131072,0
246,923,1606,6_99,6_99,231,炎獣兵マグナム・ブルース,Torchclencher,CREATURE,Dragonoid,"■ While you have at least one other fire creature in the battle zone, this creature has ""Power attacker +3000 (While attacking, this creature gets +3000 power).""",,crosswalk,135168,134400,768
247,924,1607,6_S1,6_S1,243,聖天使クラウゼ・バルキューラ,"Craze Valkyrie, the Drastic",EVOLUTION CREATURE,Initiate,"■ Evolution-Put on one of your Initiates.
■ When you put this creature into the battle zone, choose up to 2 of your opponent's creatures in the battle zone and tap them.
■ Double breaker (This creature breaks 2 shields.)",,crosswalk,120832,119296,1536
248,925,1608,6_S10,6_S10,252,神秘の超人,Cliffcrush Giant,CREATURE,Giant,"■ While you have any other untapped creatures in the battle zone, this creature can't attack.
■ Double breaker (This creature breaks 2 shields.)",,crosswalk,145408,143872,1536
249,926,1609,6_S2,6_S2,244,閃光の求道者ラ・ベイル,"Laveil, Seeker of Catastrophe",CREATURE,Mecha Thunder,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ At the end of each of your turns, you may untap this creature.
■ Double breaker (This creature breaks 2 shields.)",,crosswalk,129024,129024,0
250,927,1610,6_S3,6_S3,245,ゼータ・トゥレイト,Q-tronic Hypermind,EVOLUTION CREATURE,Survivor,"■ Evolution-Put on one of your Survivors.
■ When you put this creature into the battle zone, you may draw a card for each Survivor in the battle zone.
■ Double breaker (This creature breaks 2 shields.)",,crosswalk,145408,143872,1536
251,928,1611,6_S4,6_S4,246,クリスタル・ジャベリン,Crystal Jouster,EVOLUTION CREATURE,Liquid People,"■ Evolution-Put on one of your Liquid People.
■ Double breaker (This creature breaks 2 shields.)
■ When this creature would be destroyed, return it to your hand instead.",,crosswalk,141312,141312,0
252,929,1612,6_S5,6_S5,247,超幻獣グラザルド,Phantasmal Horror Gigazald,EVOLUTION CREATURE,Chimera,"■ Evolution-Put on one of your Chimeras.
■ Each of your darkness creatures may tap instead of attacking to use this creature's tap ability.
 Your opponent discards a card at random from his hand.",,crosswalk,147456,147456,0
253,930,1613,6_S6,6_S6,248,憤怒の猛将ダイダロス,"Daidalos, General of Fury",CREATURE,Demon Command,"■ Whenever this creature attacks, destroy one of your creatures.
■ Double breaker (This creature breaks 2 shields.)",,crosswalk,131072,130048,1024
254,931,1614,6_S7,6_S7,249,甲冑神龍エグゼキューター,Lava Walker Executo,EVOLUTION CREATURE,Dragonoid,"■ Evolution-Put on one of your Dragonoids.
■ Each of your fire creatures may tap instead of attacking to use this creature's tap ability.
 One of your fire creatures in the battle zone gets +3000 power until the end of the turn.",,crosswalk,145408,143872,1536
255,932,1615,6_S8,6_S8,250,ボルメテウス・ホワイト・ドラゴン,Bolmeteus Steel Dragon,CREATURE,Armored Dragon,"■ Double breaker (This creature breaks 2 shields.)
■ Whenever this creature would break a shield, your opponent puts that shield into his graveyard instead.",,crosswalk,151552,150016,1536
256,933,1616,6_S9,6_S9,251,大昆虫ガイアマンティス,"Ultra Mantis, Scourge of Fate",EVOLUTION CREATURE,Giant Insect,"■ Evolution-Put on one of your Giant Insects.
■ This creature can't be blocked by any creature that has power 8000 or less.
■ Double breaker (This creature breaks 2 shields.)",,crosswalk,147456,145664,1792
257,934,1617,7_1,7_1,253,爆雷の求道者ガラ・ガンダール,"Gandar, Seeker of Explosions",CREATURE,Mecha Thunder,"■ Double breaker (This creature breaks 2 shields.)
■ Instead of having this creature attack, you may tap it to use its tap ability.
 At the end of the turn, untap all your light creatures.",,crosswalk,135168,135168,0
258,935,1618,7_2,7_2,254,キング・アクエリアス,King Benthos,CREATURE,Leviathan,"■ Double breaker (This creature breaks 2 shields.)
■ Instead of having this creature attack, you may tap it to use its tap ability.
 Each of your water creatures gets ""This creature can't be blocked"" until the end of the turn.",,crosswalk,139264,138752,512
259,936,1619,7_3,7_3,255,戦艦男,Battleship Mutant,CREATURE,Hedrian,"■ Instead of having this creature attack, you may tap it to use its tap ability.
 Until the end of the turn, each of your darkness creatures in the battle zone gets +4000 power and ""double breaker."" Whenever any of those creatures battles this turn, destroy it after the battle.",,crosswalk,153600,153088,512
260,937,1620,7_4,7_4,256,鎧神兵ガリアクルーズ,Armored Transport Galiacruse,CREATURE,Armorloid,"■ Instead of having this creature attack, you may tap it to use its tap ability.
 Each of your fire creatures gets ""This creature can attack untapped creatures"" until the end of the turn.",,crosswalk,135168,133632,1536
261,938,1621,7_5,7_5,257,爆転の化身,Spinning Totem,CREATURE,Mystery Totem,"■ Instead of having this creature attack, you may tap it to use its tap ability.
 This turn, whenever any of your nature creatures is attacking your opponent and becomes blocked, it breaks one of his shields. (If a creature has ""double breaker"" or ""triple breaker,"" it still breaks only one shield.)",,crosswalk,151552,150272,1280
262,939,1622,7_6,7_6,258,聖天使カイザル・バジキューラ,"Kizar Basiku, the Outrageous",CREATURE,Initiate,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ Evolution-Put on one of your Initiates.
■ Fire stealth (This creature can't be blocked while your opponent has any fire cards in his mana zone.)
■ Double breaker (This creature breaks 2 shields.)",,crosswalk,126976,125952,1024
263,940,1623,7_7,7_7,259,光封樹,Pulsar Tree,CREATURE,Starlight Tree,"■ When one of your shields would be broken, you may destroy this creature instead.",,crosswalk,120832,119040,1792
264,941,1624,7_8,7_8,260,ジャスティス・ジャミング,Justice Jamming,SPELL,,"■ Tap all darkness creatures in the battle zone, or tap all fire creatures in the battle zone.",,crosswalk,108544,108544,0
265,942,1625,7_9,7_9,261,キャバリア・シャーク,Trenchdive Shark,CREATURE,Gel Fish,"■ When you put this creature into the battle zone, you may add up to 2 cards from your hand to your shields face down. If you do, choose the same number of your shields and put them into your hand. You can't use the ""shield trigger"" ability of those shields.",,crosswalk,129024,127232,1792
266,943,1626,7_10,7_10,262,アクア・フェンサー,Aqua Fencer,CREATURE,Liquid People,"■ Instead of having this creature attack, you may tap it to use its tap ability.
 Choose a card in your opponent's mana zone and return it to his hand.",,crosswalk,120832,119808,1024
267,944,1627,7_11,7_11,263,ビアンカス,Biancus,CREATURE,Sea Hacker,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ Instead of having this creature attack, you may tap it to use its tap ability.
 Choose one of your creatures in the battle zone. It can't be blocked this turn.",,crosswalk,112640,111104,1536
268,945,1628,7_12,7_12,264,超幻獣ドグザバル,Phantasmal Horror Gigazabal,EVOLUTION CREATURE,Chimera,"■ Evolution-Put on one of your Chimeras.
■ Light stealth (This creature can't be blocked while your opponent has any light cards in his mana zone.)
■ Double breaker (This creature breaks 2 shields.)",,crosswalk,147456,146176,1280
269,946,1629,7_13,7_13,265,ギガバスター,Gigabuster,CREATURE,Chimera,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ When you put this creature into the battle zone, choose one of your shields and put it into your hand. You can't use the ""shield trigger"" ability of that shield.
■ This creature can't attack.",,crosswalk,141312,140288,1024
270,947,1630,7_14,7_14,266,チェイン・スラッシュ,Hopeless Vortex,SPELL,,■ Destroy one of your opponent's creatures.,,crosswalk,137216,135424,1792
271,948,1631,7_15,7_15,267,超巨岩獣ヴォルクラウザー,"Valkrowzer, Ultra Rock Beast",EVOLUTION CREATURE,Rock Beast,"■ Evolution-Put on one of your Rock Beasts.
■ Water stealth (This creature can't be blocked while your opponent has any water cards in his mana zone.)
■ Double breaker (This creature breaks 2 shields.)",,crosswalk,141312,140032,1280
272,949,1632,7_16,7_16,268,ピーポのバール,Kipo's Contraption,CREATURE,Xenoparts,"■ Instead of having this creature attack, you may tap it to use its tap ability.
 Destroy one of your opponent's creatures that has power 2000 or less.",,crosswalk,137216,136704,512
273,950,1633,7_17,7_17,269,地獄万力,Apocalypse Vise,SPELL,,■ Destroy any number of your opponent's creatures that have total power 8000 or less.,,crosswalk,126976,126720,256
274,951,1634,7_18,7_18,270,世界樹ユグドラジーガ,"World Tree, Root of Life",EVOLUTION CREATURE,Tree Folk,"■ Evolution-Put on one of your Tree Folk.
■ Power attacker +2000 (While attacking, this creature gets +2000 power.)
■ Darkness stealth (This creature can't be blocked while your opponent has any darkness cards in his mana zone.)
■ Double breaker (This creature breaks 2 shields.)",,crosswalk,149504,148480,1024
275,952,1635,7_19,7_19,271,呪紋の化身,Cryptic Totem,CREATURE,Mystery Totem,"■ Double breaker (This creature breaks 2 shields.)
■ While this creature is tapped, your opponent can't use the ""shield trigger"" ability of his shields.",,crosswalk,157696,157696,0
276,953,1636,7_20,7_20,272,草原の種,"Tangle Fist, the Weaver",CREATURE,Beast Folk,"■ Instead of having this creature attack, you may tap it to use its tap ability.
 Put up to 3 cards from your hand into your mana zone.",,crosswalk,149504,148736,768
277,954,1637,7_21,7_21,273,宣凶師ロンドビル,"Rondobil, the Explorer",CREATURE,Gladiator,"■ Instead of having this creature attack, you may tap it to use its tap ability.
 Add one of your creatures from the battle zone to your shields face down.",,crosswalk,126976,125440,1536
278,955,1638,7_22,7_22,274,聖騎士プラネットシャイン,"Geoshine, Spectral Knight",CREATURE,Rainbow Phantom,"■ Whenever this creature attacks, you may choose a darkness or fire creature in the battle zone and tap it. (First choose what this creature is attacking. Then choose a creature to tap.)",,crosswalk,116736,116224,512
279,956,1639,7_23,7_23,275,ライトニング・チャージャー,Lightning Charger,SPELL,,"■ Choose one of your opponent's creatures in the battle zone and tap it.
■ Charger (After you cast this spell, put it into your mana zone instead of your graveyard.)",,crosswalk,110592,109568,1024
280,957,1640,7_24,7_24,276,スプラッシュ・ゼブラフィッシュ,Splash Zebrafish,CREATURE,Gel Fish,"■ When you put this creature into the battle zone, return a card from your mana zone to your hand.
■ This creature can't be blocked.",,crosswalk,143360,142848,512
281,958,1641,7_25,7_25,277,キュリアス・アイ,Curious Eye,CREATURE,Cyber Virus,"■ Whenever this creature attacks, you may look at one of your opponent's shields. Then put it back where it was.",,crosswalk,131072,131072,0
282,959,1642,7_26,7_26,278,スパイラル・チャージャー,Riptide Charger,SPELL,,"■ Choose a creature in the battle zone and return it to its owner's hand.
■ Charger (After you cast this spell, put it into your mana zone instead of your graveyard.)",,crosswalk,124928,123392,1536
283,960,1643,7_27,7_27,279,三面怪人アシュラファング,Three-Faced Ashura Fang,CREATURE,Devil Mask,"■ When you put this creature into the battle zone, choose one of your shields and put it into your hand. You can't use the ""shield trigger"" ability of that shield.",,crosswalk,139264,137728,1536
284,961,1644,7_28,7_28,280,ポイズン・ティアラ,Scalpel Spider,CREATURE,Brain Jacker,"■ Whenever this creature is attacked, it gets ""slayer"" until the end of the turn. (Whenever a creature that has ""slayer"" battles, destroy the other creature after the battle.)",,crosswalk,155648,154112,1536
